PAYMENT_NUMBER,MONTH,PAYMENT,PRINCIPAL,PERCENT_PRINCIPAL_OF_PAYMENT,INTEREST,PERCENT_INTEREST_OF_PAYMENT,REMAINING_BALANCE,PERCENT_OF_LOAN_PAID,PERCENT_OF_ASSET_OWNED
54,6,516.22,93.43,18.098872573708885,422.79,81.90112742629113,75630.54999999999,5.461812500000022,24.369450000000015
55,7,516.22,93.95,18.199604819650535,422.27,81.80039518034945,75536.59999999999,5.579250000000016,24.463400000000007
56,8,516.22,94.47,18.30033706559219,421.75,81.6996629344078,75442.12999999999,5.697337500000003,24.55787000000001
57,9,516.22,95.0,18.40300647010964,421.22,81.59699352989036,75347.12999999999,5.816087500000009,24.652870000000007
58,10,516.22,95.53,18.505675874627094,420.69,81.4943241253729,75251.59999999999,5.935500000000019,24.748400000000004
59,11,516.22,96.07,18.61028243772035,420.15,81.38971756227964,75155.52999999998,6.055587500000016,24.844470000000015
60,12,516.22,96.6,18.712951842237803,419.62,81.28704815776219,75058.92999999998,6.176337500000031,24.941070000000025
61,1,516.22,97.14,18.81755840533106,419.08,81.18244159466893,74961.78999999998,6.297762500000033,25.03821000000002
62,2,516.22,97.68,18.922164968424315,418.54,81.07783503157569,74864.10999999999,6.419862500000022,25.135890000000018
63,3,516.22,98.23,19.02870869009337,417.99,80.97129130990662,74765.87999999999,6.542650000000023,25.23412000000002
64,4,516.22,98.78,19.135252411762426,417.44,80.86474758823758,74667.09999999999,6.666125000000008,25.33290000000001
65,5,516.22,99.33,19.24179613343148,416.89,80.75820386656851,74567.76999999999,6.790287500000019,25.432230000000004
66,6,516.22,99.88,19.348339855100534,416.34,80.65166014489945,74467.88999999998,6.915137500000029,25.532110000000017
67,7,516.22,100.44,19.456820735345392,415.78,80.5431792646546,74367.44999999998,7.040687500000018,25.632550000000023
68,8,516.22,101.0,19.56530161559025,415.22,80.43469838440976,74266.44999999998,7.1669375000000315,25.733550000000022
69,9,516.22,101.57,19.67571965441091,414.65,80.32428034558909,74164.87999999998,7.293900000000036,25.835120000000018
70,10,516.22,102.13,19.784200534655767,414.09,80.21579946534423,74062.74999999997,7.421562500000036,25.937250000000034
